Title,Rating,Genre,Release Date,Reviews Count,Rating Code,Duration
Dandelion,72%,Drama,Now Playing,39 Reviews,R,1h 41m
The Commandant's Shadow,93%,Documentary,Released May 29,15 Reviews,R,1h 41m
Chestnut,44%,Drama,Released Jun 21,16 Reviews,R,1h 41m
Doctor Strange in the Multiverse of Madness,74%,Action,"Released May 6, 2022",465 Reviews,R,1h 41m
The Outwaters,75%,Horror,"Released Feb 9, 2023",69 Reviews,R,1h 41m
The Nature of Love,94%,Comedy,Now Playing,31 Reviews,R,1h 41m
Kill,90%,Action,Now Playing,90 Reviews,R,1h 41m
"Mother, Couch",39%,Comedy,Now Playing,44 Reviews,R,1h 41m
"South Park: Bigger, Longer & Uncut",81%,Comedy,"Released Jun 30, 1999",99 Reviews,R,1h 41m
Beverly Hills Cop II,49%,Action,"Released May 20, 1987",41 Reviews,R,1h 41m
"Orlando, My Political Biography",94%,Documentary,"Released Nov 10, 2023",48 Reviews,R,1h 41m
Blue Lock the Movie -Episode Nagi-,91%,Drama,Now Playing,11 Reviews,R,1h 41m
Kinds of Kindness,73%,Comedy,Now Playing,240 Reviews,R,1h 41m
